Nombre,Apellido,RUT,Dirección,Comuna,N° Cuenta Corriente,Banco,Monto de Garantía,Fecha de Pago de Garantía,N° Jornada de Remate,Fecha del Remate,Modelo de Automóvil,Categoría de Automóvil,Proveedor del Auto,Pago del Restante,Fecha de Pago del Restante,Devolución de Garantía,Fecha de Devolución,Cantidad de Click en Inicio,"Cantidad de Click en ""Quiénes Somos""",Cantidad de Click en Contacto,Cantidad de Click en Remates Activos,Cantidad de Click en Abonar Garantía,Cantidad de Click en Agregar al Carro,Cantidad de Click a Salón de Remate
Jordán,Ortuño,23122593-5,"Pasaje de Prudencio Cervera 19
Palencia, 01369",Santiago,ES4262200580001992260669,Banco de Chile,1930455.09,2024-05-09,16,2024-08-13,Nissan Sentra,Camioneta,Banco de Chile,15544128.54,2024-09-08,0.0,,81,13,3,14,37,48,69
Prudencio,Viana,20514526-5,"Vial Saturnino Orozco 7 Piso 3 
Jaén, 15747",Ñuñoa,ES8763769144858099734095,BCI,778982.35,2024-05-31,13,2024-07-11,Ford Fiesta,SUV,Santander,0.0,,778982.35,2024-10-22,56,29,4,98,13,14,60
Saturnina,Atienza,19591458-3,"Ronda Lupe Pozuelo 81 Puerta 7 
Cáceres, 23314",Vitacura,ES6676294815525780342954,Banco de Chile,844393.27,2024-05-27,48,2024-06-12,Honda Civic,Sedán,Santander,10687136.0,2024-10-03,0.0,,80,15,16,74,26,90,74
Carmen,Rosado,19580504-0,"C. de Luisa Galindo 32 Apt. 95 
Albacete, 29218",Ñuñoa,ES0496711688222323082759,Banco Estado,1463039.06,2024-04-21,45,2024-08-29,Honda Civic,Sedán,Banco Estado,19104519.92,2024-09-21,0.0,,87,44,50,66,28,92,50
Nidia,Rebollo,20723242-4,"Pasadizo de Natanael Coca 58
Jaén, 23709",Las Condes,ES6367846612209981399814,Banco Estado,1805505.84,2024-03-06,19,2024-07-29,Honda Civic,SUV,Scotiabank,17688150.84,2024-08-14,0.0,,69,15,15,136,36,35,93
Nadia,Araujo,16800183-5,"Cuesta de Maximino Campoy 55
Zaragoza, 51838",Ñuñoa,ES7532881820286937640926,Santander,1063936.04,2024-03-07,45,2024-08-25,Nissan Sentra,Camioneta,BCI,0.0,,1063936.04,2024-12-12,92,11,1,94,49,15,19
Balduino,Perez,14720403-5,"Urbanización de Antonia Sarabia 8 Puerta 1 
Málaga, 33130",Las Condes,ES6286742385249271176968,BCI,1658349.04,2024-02-05,26,2024-05-18,Chevrolet Spark,SUV,Banco de Chile,0.0,,1658349.04,2024-11-21,35,2,9,67,40,63,35
Jeremías,Cantero,13214053-7,"Via de Emiliano Barberá 99
Álava, 03166",Ñuñoa,ES0268971785510337443075,BCI,1251939.15,2024-05-12,44,2024-06-16,Ford Fiesta,Camioneta,BCI,0.0,,1251939.15,2024-07-16,7,3,33,8,38,10,57
Marcos,Roca,19877113-9,"Vial de Jesús Maestre 67 Piso 6 
Vizcaya, 08828",Vitacura,ES3565873556456417417253,BCI,1500347.89,2024-03-13,6,2024-07-22,Chevrolet Spark,Hatchback,Scotiabank,10885388.32,2024-10-26,0.0,,77,48,25,12,6,91,11
Jenaro,Canet,19779190-K,"Pasadizo de Íñigo Giménez 58 Piso 3 
Melilla, 45821",La Florida,ES0501756360906143521250,BCI,1582238.14,2024-03-31,32,2024-04-16,Ford Fiesta,Sedán,Banco de Chile,0.0,,1582238.14,2024-04-19,77,36,39,153,5,85,48
Roberto,Acuña,19149564-0,"Avenida Manu Solano 90
Asturias, 36188",Vitacura,ES3423366706360940955572,BCI,982545.95,2024-02-05,13,2024-05-12,Toyota Corolla,Camioneta,Banco de Chile,0.0,,982545.95,2024-06-21,18,32,32,177,21,22,63
Lidia,Calderón,21624013-8,"Vial Reynaldo Galan 753
Navarra, 07916",Santiago,ES0471877278526461985373,Banco Estado,605887.89,2024-05-16,21,2024-11-18,Toyota Corolla,Hatchback,BCI,15907821.86,2024-12-25,0.0,,82,36,21,159,19,82,27
Segismundo,Alvarez,2147761-3,"Pasaje de Jacobo Román 84
Burgos, 15959",Las Condes,ES3174579281348102505927,Banco de Chile,1793595.73,2024-05-31,50,2024-08-11,Honda Civic,Hatchback,Scotiabank,0.0,,1793595.73,2024-10-29,86,22,31,1,13,91,31
Anabel,Fernandez,13555869-9,"Alameda Susana Viñas 35 Puerta 8 
Burgos, 42519",Las Condes,ES2797939703795830002379,Banco Estado,1631432.82,2024-03-27,14,2024-12-08,Honda Civic,Hatchback,Banco Estado,0.0,,1631432.82,2024-12-24,99,3,4,16,18,85,33
César,Villalobos,17017144-6,"Cuesta de Isidora Fernandez 95 Piso 7 
León, 44465",Ñuñoa,ES7557123126783500631699,Banco de Chile,1955753.66,2024-06-08,36,2024-08-28,Chevrolet Spark,Coupé,Santander,15116104.19,2024-12-28,0.0,,27,30,42,76,48,22,55
Adalberto,Cerezo,15528813-2,"Paseo de Brígida Batalla 8 Apt. 36 
Granada, 06486",Ñuñoa,ES3103909852741974366853,Santander,1201055.58,2024-04-12,49,2024-05-16,Toyota Corolla,Camioneta,BCI,13275127.9,2024-06-02,0.0,,38,29,20,10,48,14,78
Fabián,Moles,22462181-7,"Ronda de Miguel Pol 2
Pontevedra, 44543",Providencia,ES8222016304461545938805,Santander,704602.81,2024-01-06,43,2024-03-08,Honda Civic,SUV,BCI,6307723.38,2024-09-16,0.0,,89,20,5,138,3,92,8
Oriana,Almeida,19609634-5,"Acceso Conrado Rios 5 Puerta 1 
Palencia, 09405",Santiago,ES7070835183236397524583,Scotiabank,757113.56,2024-03-24,12,2024-09-20,Toyota Corolla,SUV,Banco de Chile,0.0,,757113.56,2024-11-19,38,38,36,56,1,29,93
Eduardo,Lloret,19216164-9,"Cañada de Salud Morales 2
Girona, 08514",La Florida,ES8424388571688611975243,Banco Estado,1223804.76,2024-06-18,32,2024-10-07,Ford Fiesta,Camioneta,Santander,0.0,,1223804.76,2024-10-10,99,7,47,76,9,12,29
Alonso,Aguiló,7246760-4,"Alameda de Carla Madrigal 4
Córdoba, 40134",Las Condes,ES7006649345877165280376,Scotiabank,1216899.8,2024-01-12,34,2024-04-13,Toyota Corolla,Sedán,BCI,11388512.7,2024-05-14,0.0,,46,37,0,30,24,58,42
Mario,Cabello,7120979-2,"Plaza de Teodora Paredes 961
Madrid, 19460",La Florida,ES4146670285332342284802,Scotiabank,1313582.7,2024-03-31,19,2024-09-09,Chevrolet Spark,Camioneta,Santander,0.0,,1313582.7,2024-10-09,62,12,15,82,43,97,63
Jose Francisco,Castells,10422937-9,"Plaza de Lorenza Serna 70
Jaén, 34130",Santiago,ES6663688712180103674656,Santander,1502994.07,2024-04-10,18,2024-05-09,Ford Fiesta,Camioneta,Banco Estado,9421060.91,2024-07-09,0.0,,21,18,11,136,31,30,62
Delia,Herrera,2913440-5,"Pasadizo Nydia Bautista 83
Pontevedra, 42082",Providencia,ES4784092555484207396574,BCI,1474639.8,2024-06-20,32,2024-07-17,Ford Fiesta,SUV,BCI,12374335.71,2024-10-17,0.0,,10,14,16,37,37,39,58
Olivia,Marti,8694809-5,"C. de Cristina Quero 449 Apt. 63 
Málaga, 11971",Santiago,ES5182988875464780347103,Scotiabank,1765061.73,2024-02-10,35,2024-05-19,Nissan Sentra,SUV,Banco Estado,5561764.64,2024-05-19,0.0,,17,33,14,137,26,38,76
Paola,Gascón,21907574-K,"Callejón de Agapito Alegre 3
Ciudad, 26758",Santiago,ES2275519610209845363522,Banco de Chile,530282.03,2024-07-11,18,2024-11-15,Nissan Sentra,Hatchback,Banco Estado,0.0,,530282.03,2024-11-22,79,13,41,16,37,56,79
Emma,Vega,10875783-3,"Calle Tristán Angulo 28
Granada, 22741",Las Condes,ES2593052547795417218486,Banco Estado,1883176.55,2024-06-22,31,2024-09-11,Nissan Sentra,SUV,Banco de Chile,6501236.64,2024-10-11,0.0,,48,37,18,44,21,60,75
Ema,Rius,9807898-3,"Rambla Margarita Toledo 71
Cuenca, 08250",La Florida,ES4558810090216670521693,Scotiabank,542788.6,2024-01-19,43,2024-04-09,Honda Civic,Camioneta,Banco de Chile,0.0,,542788.6,2024-09-16,14,13,21,11,28,89,87
Yaiza,Amorós,6376572-4,"Paseo Lupe Martinez 96 Apt. 78 
Navarra, 09330",Vitacura,ES5839219744436008104228,Santander,1951852.61,2024-02-22,36,2024-04-06,Nissan Sentra,SUV,Santander,0.0,,1951852.61,2024-08-13,39,22,37,19,17,34,45
Adolfo,Morales,13431941-0,"Avenida Ramón Galan 67 Puerta 7 
Murcia, 35501",La Florida,ES3111576687868132685212,Banco de Chile,1892923.3,2024-03-01,43,2024-03-14,Honda Civic,Sedán,Banco Estado,18081778.88,2024-08-10,0.0,,65,47,39,67,32,89,97
Filomena,Carmona,9261260-0,"Acceso de Graciela Tapia 69 Puerta 9 
Málaga, 23624",Santiago,ES3538065580391715693808,BCI,629465.11,2024-02-13,6,2024-02-28,Chevrolet Spark,Sedán,Banco Estado,0.0,,629465.11,2024-10-06,48,14,43,189,16,45,49
Plinio,Ariño,8384320-9,"Callejón de Amalia Tomas 40
Valencia, 48531",Vitacura,ES3852078264973079929759,Santander,892891.06,2024-05-07,5,2024-10-20,Chevrolet Spark,Camioneta,Banco de Chile,7456732.84,2024-12-14,0.0,,97,22,44,173,17,86,81
María José,Cobos,20154186-7,"Acceso Rico Marquez 53 Apt. 89 
Lleida, 16608",La Florida,ES4495925324828917732959,Santander,1642933.1,2024-04-06,42,2024-05-10,Nissan Sentra,Sedán,BCI,0.0,,1642933.1,2024-12-06,64,16,37,171,36,85,100
Anabel,Gallo,15898940-9,"Pasadizo de Heriberto Otero 15 Apt. 33 
Navarra, 31037",Vitacura,ES7914847656010524987486,Banco Estado,1031207.82,2024-07-06,50,2024-09-16,Chevrolet Spark,Hatchback,Scotiabank,19675861.68,2024-10-28,0.0,,61,6,48,11,12,33,13
Inmaculada,Borrás,23559802-7,"Camino Armida Muro 419
Alicante, 07257",Ñuñoa,ES5641962998344229322347,Scotiabank,501102.87,2024-04-27,49,2024-06-22,Ford Fiesta,Coupé,BCI,8178386.54,2024-11-11,0.0,,48,35,12,87,7,56,56
Encarnación,Linares,3991541-3,"Ronda Germán Flor 905
Soria, 09270",Ñuñoa,ES6941949302390622780853,Banco Estado,719676.43,2024-03-08,4,2024-09-01,Chevrolet Spark,Coupé,Banco de Chile,0.0,,719676.43,2024-11-01,84,30,24,109,10,76,64
Graciana,Salas,14022361-1,"Via Pancho Trillo 95 Puerta 4 
Girona, 37200",Providencia,ES2261261918272648321475,Banco de Chile,1807450.55,2024-05-26,1,2024-12-10,Honda Civic,Coupé,Banco Estado,14574193.3,2024-12-11,0.0,,90,18,49,79,25,47,8
Omar,Porta,21049835-4,"Calle Marcos Salcedo 496
Castellón, 26652",Ñuñoa,ES8511861872033319661838,BCI,768935.67,2024-03-18,20,2024-06-10,Toyota Corolla,Sedán,Santander,0.0,,768935.67,2024-12-17,19,32,6,163,23,28,5
Ciriaco,Feliu,24410559-9,"Paseo Corona Vizcaíno 769
Soria, 31889",Vitacura,ES9890553037383023771944,Banco Estado,641828.08,2024-06-01,27,2024-10-06,Ford Fiesta,Camioneta,Scotiabank,17530273.1,2024-12-16,0.0,,65,28,16,120,22,97,26
Lola,Martorell,17083601-4,"Acceso de Emperatriz Borja 72
Albacete, 32779",Vitacura,ES4642852185515334866602,BCI,1670962.79,2024-06-20,29,2024-07-04,Toyota Corolla,Camioneta,Scotiabank,0.0,,1670962.79,2024-08-28,45,41,7,142,21,15,18
Eva,Cortina,11100922-8,"Vial de Delfina Comas 464 Apt. 22 
Murcia, 28775",La Florida,ES4220479151173800917494,Banco de Chile,1099163.75,2024-05-26,30,2024-07-28,Nissan Sentra,Hatchback,Santander,0.0,,1099163.75,2024-09-12,82,27,10,117,13,95,72
Eufemia,Carro,4271478-K,"Plaza Jaime Clemente 322 Apt. 14 
Cuenca, 41826",La Florida,ES6079496012705546604331,Scotiabank,1360709.64,2024-02-25,44,2024-05-31,Chevrolet Spark,Sedán,BCI,16725344.02,2024-12-20,0.0,,80,43,23,124,50,32,48
Ignacio,Santamaría,13570797-K,"Ronda de Cristina Vives 925
Cantabria, 20545",Vitacura,ES7017434415270670489679,Banco Estado,1064376.43,2024-03-16,50,2024-05-17,Toyota Corolla,SUV,Banco Estado,0.0,,1064376.43,2024-05-19,81,23,11,15,9,70,56
Juanito,Campo,14422362-4,"Cuesta Silvia Sotelo 78 Apt. 97 
Cádiz, 46480",Santiago,ES3503541064593562135772,BCI,1755649.09,2024-05-17,17,2024-10-30,Honda Civic,Sedán,BCI,17572675.38,2024-12-11,0.0,,77,24,5,19,43,52,23
Sebastián,Pastor,11526163-0,"Vial de Clemente Alcántara 467
Santa Cruz de Tenerife, 48239",Ñuñoa,ES8116049244818502015573,Banco de Chile,808682.5,2024-04-04,37,2024-08-27,Honda Civic,Hatchback,Scotiabank,0.0,,808682.5,2024-12-15,5,32,8,150,29,88,10
Íñigo,Jurado,1503449-1,"Plaza de Cristian Acuña 6 Puerta 3 
Murcia, 08539",Santiago,ES4884118940312722742790,Banco Estado,1620948.83,2024-05-26,49,2024-06-01,Chevrolet Spark,Camioneta,Banco de Chile,8122304.93,2024-07-18,0.0,,19,45,0,162,44,77,17
Cornelio,Menendez,19195508-0,"Callejón Loreto Plana 97 Puerta 5 
Las Palmas, 42929",Providencia,ES6509693458577454223750,BCI,933724.48,2024-05-24,14,2024-11-24,Nissan Sentra,Camioneta,Banco de Chile,0.0,,933724.48,2024-12-24,9,48,10,110,19,68,13
Modesta,Macías,5429626-6,"Pasaje Luisina Villar 73
Navarra, 09709",La Florida,ES3607677503931721886943,Scotiabank,1296800.1,2024-01-31,16,2024-07-15,Honda Civic,Coupé,BCI,9557439.67,2024-07-19,0.0,,42,15,38,194,10,16,13
Candelas,Tejada,20240754-4,"Cañada Paz Riquelme 58
Alicante, 06640",Santiago,ES8556663476806472666994,Banco de Chile,1759204.23,2024-07-01,43,2024-10-15,Chevrolet Spark,SUV,Banco Estado,18969114.44,2024-11-19,0.0,,34,31,9,130,7,42,64
Marco,Riquelme,12507167-8,"Ronda Valentín Saez 41 Piso 3 
Albacete, 41953",Ñuñoa,ES2852271129032086624674,Santander,1282696.76,2024-01-15,10,2024-03-16,Chevrolet Spark,Coupé,Banco Estado,0.0,,1282696.76,2024-09-17,77,23,35,190,20,45,41
Fausto,Campillo,19954822-0,"Cañada de Marciano Posada 5 Piso 7 
Almería, 51150",La Florida,ES6743748361600150440009,BCI,821914.53,2024-01-17,22,2024-03-17,Toyota Corolla,Hatchback,Scotiabank,0.0,,821914.53,2024-11-02,16,12,3,38,9,54,41
Rufina,Dominguez,20355854-6,"Plaza Manuelita Cepeda 2
Pontevedra, 51929",Las Condes,ES7713176117782812568218,Banco de Chile,861295.52,2024-01-14,36,2024-10-23,Nissan Sentra,SUV,BCI,0.0,,861295.52,2024-12-15,64,34,25,41,9,66,94
Jose Ramón,Busquets,7983228-6,"Paseo de Jovita Poza 23 Apt. 96 
Valencia, 19587",Santiago,ES7058500024322177244202,Santander,789757.51,2024-05-16,20,2024-09-18,Ford Fiesta,Sedán,BCI,0.0,,789757.51,2024-10-26,62,27,22,13,46,97,97
Evelia,Bustamante,23183441-9,"Alameda de Goyo Carmona 735
Cuenca, 51770",Santiago,ES8068505360684240415604,Banco de Chile,1590865.06,2024-03-29,33,2024-12-08,Chevrolet Spark,SUV,BCI,0.0,,1590865.06,2024-12-30,73,25,46,111,13,74,43
Olivia,Escobar,6916615-6,"Rambla Anastasia Flores 299 Piso 4 
Córdoba, 01340",Providencia,ES6509252639830837879955,Banco Estado,668768.13,2024-05-21,41,2024-07-05,Nissan Sentra,Hatchback,Banco de Chile,12408323.85,2024-12-01,0.0,,92,7,19,22,43,1,88
